3.3.;В;125;Центральний склад;Центральний склад;00006014;;173
1.1;В;388;Група радників;Група радників;00006012;;00004277
1.2.;В;51;Режимно-секретний відділ;Режимно-секретний відділ;00006012;;00006378
3.4.;В;54;Транспортний відділ;Транспортний відділ;00006014;;00006016
0.1;В;56;Адміністрація;Адміністрація;00006012;;00006012
5.4.;КВ;66;Представництво в Туркменістані;Представництво в Туркменістані;00002122;;00004952
1.3.;В;79;Служба охорони праці;Служба охорони праці;00006012;;00003521
1.4.;В;958;Відділ закупівель;Відділ закупівель;00006012;;00006368
1.8.;Д;959;Фахівець з питань мобілізаційної роботи;Фахівець з питань мобілізаційної роботи;00006012;;00005921
5.3.;КВ;313;Відділ спеціальної техніки та захисту інформації;Відділ спеціальної техніки та захисту_інформації, Відділ спеціальної техніки та захисту інформації;00002122;313;00002989
3.2.;В;38;Бухгалтерія;Бухгалтерія;00006014;38;00004407
3.1.1.;В;383;Фінансово-економічний відділ;Департамент економіки та фінансів, Фінансово-економічний відділ;00006014;737;136
1.5.1.;В;426;Відділ договірно-правової роботи;Юридичний департамент, Відділ договірно-правової роботи;00006012;688;00006541
;;55;Трудова угода;_Старі підрозділи (не використовувати), Трудова угода;;;
4.2.;КД;627;Центр гуманітарного розмінування;Центр гуманітарного розмінування;00003231;627;00002926
1.7.;Д;641;Апарат директора;Апарат  директора, Апарат директора;00006052;641;00006052
2.2.;КВ;668;Представництво в АРЄ;Представництво в АРЄ;00006013;668;00000116
1.5.;Д;688;Юридичний департамент;Юридичний департамент;00006012;688;00005354
5.1.;КД;723;Виробничий департамент;Виробничий департамент;00002122;723;00003786
5.1.7.;В;724;Навчальний відділ;Виробничий департамент, Навчальний відділ;00002122;723;00005572
3.1.;Д;737;Департамент економіки та фінансів;Департамент економіки та фінансів;00006014;737;00000153
6.1.;КД;788;Комерційний департамент № 3;Комерційний дераптамент № 3, Комерційний департамент № 3;00006360;788;00006365
5.5.2.;КГ;834;Дільниця технічного обслуговування та ремонту сз;Виробничо-випробувальний комплекс, Дільниця технічного обслуговування та ремонту сз;00002122;835;
5.5.;КВ;835;Виробничо-випробувальний комплекс;Виробничо-випробувальний комплекс;00002122;835;00005205
